code,name,market,category,report_date,pe_ttm,pb,ps_ttm,roe,gross_margin,notes
sh603259,药明康德,A,CXO,2026-03-22,18.09,3.82,-,-,-,
sh600438,通威股份,A,光伏,2026-03-22,-9.97,1.99,-,-,-,
sh601012,隆基绿能,A,光伏,2026-03-22,-26.00,2.53,-,-,-,
sz002459,晶澳科技,A,光伏,2026-03-22,-5.44,1.86,-,-,-,
sz300763,锦浪科技,A,光伏,2026-03-22,53.58,5.23,-,-,-,
sh688235,百济神州,A,医药,2026-03-22,246.65,10.72,-,-,-,
sh600196,复星医药,A,医药,2026-03-22,20.22,1.38,-,-,-,
sh601888,中国中免,A,消费,2026-03-22,41.84,2.69,-,-,-,
hk02269,药明生物,HK,CXO,2026-03-22,38.61,-,-,-,-,
hk06160,百济神州,HK,医药,2026-03-22,116.66,-,-,-,-,
hk01177,中国生物制药,HK,医药,2026-03-22,29.68,-,-,-,-,
hk01880,中国中免,HK,消费,2026-03-22,30.93,-,-,-,-,
hk00700,腾讯控股,HK,科技,2026-03-22,18.62,-,-,-,-,
hk03690,美团-W,HK,科技,2026-03-22,12.64,-,-,-,-,
hk01810,小米集团-W,HK,科技,2026-03-22,33.70,-,-,-,-,
hk01024,快手-W,HK,科技,2026-03-22,14.14,-,-,-,-,
hk09988,阿里巴巴-W,HK,科技,2026-03-22,16.76,-,-,-,-,
hk00883,中国海洋石油,HK,能源,2026-03-22,9.69,-,-,-,-,
